packageId,title
1,Activator Camp
2,Add Supp Needs Beg
3,Add Supp Needs Bronze.
4,Add Supp Needs Imp
5,Add Supp Needs Pre Sch
6,Adult + Baby
7,Adult + Child
8,Adult Tennis Coaching
9,Adult Wet Coaching
10,Aerial Assault
11,Aerotone
12,American Football
13,Aquafit
14,Aquavator
15,Archery Coaching
16,Athletics
17,Athletics Coaching
18,Badminton
19,Badminton Coaching
20,Ball Kids Coaching
21,Baseball
22,Basketball
23,Basketball Coaching
24,Beginners
25,Beginners 1
26,Beginners 1:4
27,Beginners 2
28,Beginners 8+
29,Birth.Party From January
30,Birthday Party
31,Body + Core Conditioning
32,Bodyattack
33,Bodybalance
34,Bodycombat
35,Bodyjam
36,Bodypump
37,Bodystep
38,Bodyvive
39,Boot Camp
40,Bowling
41,Boxercise
42,Boxfit
43,Bronze
44,Cardio Tennis
45,Cheerleading
46,Circuit Training
47,Climb Coaching
48,Climbing Courses
49,Climbing Sessions
50,Cricket
51,Cxworx
52,Dance
53,Dance Coaching
54,Dinghy Sailing
55,Dive Coaching
56,Diving Coaching
57,Education Coaching
58,Education Dry Coaching
59,Education Use - Dry
60,Education Use - Outdoor
61,Education Use - Wet
62,Extended Let - Dry
63,Extended Let - Outdoor
64,Extended Let - Wet
65,Fast Blast
66,Fitsteps
67,Football
68,Football - Indoor
69,Football - Outdoor
70,Football Coaching
71,Free Swimming Lessons
72,Gaelic Football
73,General
74,Get Up And Go
75,Get Up And Go Gym
76,Gold
77,Gold Elite
78,Golf
79,Golf Advanced Bookings
80,Golf Club Bookings
81,Golf Online Bookings
82,Golf Promotions
83,Gravity
84,Gym Booking
85,Gym Booking Sheet
86,Gym Classes
87,Gymnastics Coaching
88,Hockey
89,Holiday Camp
90,Hot Bath
91,Hydrospin
92,Improvers
93,Improvers 1:4
94,Inclusion Coaching
95,Individual Lesson
96,Individual Lessons
97,Initiatives Class
98,Insanity
99,Instructor Course
100,Jogging Network
101,Judo Coaching
102,Junior Triathlon
103,Karate Coaching
104,Kayaking
105,Keelboat Sailing
106,Lunch Workout
107,Masters
108,Metafit
109,Mini Polo
110,Mini Synchro
111,Multi Activity
112,Multi-Activity Course
113,Multihull
114,N.R.G. Zone
115,Netball
116,Nursery
117,Open All Hours
118,Outdoor Fitness Class
119,P.E. Boat Hire
120,P.E. Boat Hire + Inst.
121,P.E. Education
122,P.E. Groups
123,P.E. Instructor Only
124,P.E. Schools + Colleges
125,Performance Squads
126,Pilates
127,Piloxing
128,Pool  Based
129,Powerboating
130,Powerhoop
131,Pre-School
132,Pre-School 1:4
133,Qualifications Course
134,R P M
135,Racquetball
136,Rookie Lifeguard
137,Rugby
138,Sh`Bam
139,Shore Based Courses
140,Short Tennis
141,Silver
142,Soft Play
143,Special Event + Hires
144,Squash
145,Squash Coaching
146,Staff Training
147,Stroke Development
148,Swim Fit
149,Tabata
150,Table Tennis
151,Tai Chi
152,Taster Sessions
153,Tennis
154,Tennis - Free Practice
155,Tennis - Merchiston
156,Tennis - P.A.S.
157,Tennis Coaching - Adult
158,Tennis Coaching - Junior
159,Tennis Walk On
160,Trampoline Coaching
161,"Tums, Bums, Thighs"
162,Virtual Bodybalance
163,Virtual Bodycombat
164,Virtual Bodypump
165,Virtual Cxworx
166,Virtual Fitness Tester
167,Virtual Pilates
168,Virtual Power Step
169,Virtual R.P.M.
170,Virtual Sh`Bam
171,Virtual Strength Training
172,Volleyball
173,X-Press Work Out
174,X-Trainer Class
175,Yoga
176,Z1 Preparation + Recovery
177,Z2 Court Unplayable
178,Zumba
